Date,Logins 2016,Logins 2017,Logins 2018,Logins 2019,Logins 2020
1-1,,2176,925,610,622
1-2,,2381,1037,580,541
1-3,,2038,894,568,695
1-4,,1813,1065,681,664
1-5,,1807,1098,703,677
1-6,,2005,1229,656,698
1-7,,2164,1200,545,569
1-8,,2113,844,486,694
1-9,,1557,762,425,547
1-10,,1609,735,490,620
1-11,,1564,782,392,796
1-12,,1594,808,579,760
1-13,,1565,1267,580,592
1-14,,2218,1108,385,608
1-15,,2106,1000,371,455
1-16,,1940,839,299,538
1-17,,1789,718,389,511
1-18,,1544,715,605,579
1-19,,1404,655,500,771
1-20,,1397,919,645,647
1-21,,390,996,586,479
1-22,,1901,759,634,485
1-23,,1506,562,461,505
1-24,,1476,619,555,533
1-25,,1258,668,608,617
1-26,,1373,844,773,681
1-27,,1461,840,819,590
1-28,,1762,974,662,563
1-29,,1963,701,572,418
1-30,,1481,588,721,370
1-31,,1575,590,527,446
2-1,,1366,626,599,721
2-2,,1333,619,673,718
2-3,,1237,820,922,86
2-4,,1851,880,547,
2-5,,1873,604,530,
2-6,,1320,612,559,
2-7,,1261,552,480,
2-8,,1222,614,537,
2-9,,1322,741,680,
2-10,,1414,1034,855,
2-11,,1751,1008,537,
2-12,,1892,689,645,
2-13,,1495,595,635,
2-14,,1298,555,565,
2-15,,1281,570,651,
2-16,,1299,622,808,
2-17,,1397,782,785,
2-18,,2012,1002,672,
2-19,,2150,804,612,
2-20,,1757,594,723,
2-21,,1484,511,653,
2-22,,1393,558,569,
2-23,,1248,557,753,
2-24,,1438,740,821,
2-25,,1816,892,590,
2-26,,1877,699,645,
2-27,,1349,612,596,
2-28,,1452,662,610,
3-1,,1367,608,677,
3-2,,1377,656,712,
3-3,,1164,790,932,
3-4,,1953,955,690,
3-5,,1800,606,607,
3-6,,1496,622,623,
3-7,,1430,538,724,
3-8,,1393,507,658,
3-9,,1247,491,896,
3-10,,1584,643,900,
3-11,,1849,780,674,
3-12,,1791,743,630,
3-13,,1415,724,678,
3-14,,1188,722,604,
3-15,,1445,613,610,
3-16,,1284,718,846,
3-17,,1576,818,792,
3-18,,1813,929,553,
3-19,,1858,637,610,
3-20,,1336,677,592,
3-21,,1253,557,535,
3-22,,1203,648,518,
3-23,,1294,622,625,
3-24,,1294,813,657,
3-25,,1642,894,462,
3-26,,1854,712,539,
3-27,,1240,745,457,
3-28,,1240,644,517,
3-29,,1180,646,601,
3-30,,1232,858,590,
3-31,,1415,1091,843,
4-1,,1489,759,555,
4-2,,1781,861,525,
4-3,,1337,635,718,
4-4,,1153,523,541,
4-5,,1089,673,538,
4-6,,1132,620,669,
4-7,,1065,703,826,
4-8,,1345,764,653,
4-9,,1390,545,586,
4-10,,1169,537,683,
4-11,,1046,447,583,
4-12,,942,394,662,
4-13,,924,575,753,
4-14,,1310,661,667,
4-15,,1379,875,635,
4-16,,1274,543,524,
4-17,,1200,468,555,
4-18,,1068,518,539,
4-19,,1029,564,674,
4-20,,991,568,782,
4-21,,1226,800,630,
4-22,,1149,788,629,
4-23,,1289,567,333,
4-24,,921,593,4,
4-25,,931,513,17,
4-26,,894,521,42,
4-27,,871,504,37,
4-28,,896,656,21,
4-29,,1290,715,13,
4-30,,1374,539,30,
5-1,,1407,544,25,
5-2,,1062,470,7,
5-3,,1067,424,2,
5-4,,847,480,1,
5-5,,1000,684,1,
5-6,,1361,588,1504,
5-7,,1644,429,1021,
5-8,,1175,404,934,
5-9,,1044,301,1001,
5-10,,1033,313,1084,
5-11,,959,297,1211,
5-12,,789,553,1372,
5-13,,1457,567,1534,
5-14,,1450,455,1268,
5-15,,1071,365,833,
5-16,,1158,445,889,
5-17,,1061,389,697,
5-18,,1001,451,806,
5-19,,1104,494,1148,
5-20,,1382,619,957,
5-21,,1009,419,729,
5-22,,1217,447,678,
5-23,,1311,468,646,
5-24,,1043,440,656,
5-25,,1243,445,666,
5-26,,1272,471,839,
5-27,,1371,629,948,
5-28,,1455,531,649,
5-29,,1318,492,723,
5-30,,1309,419,750,
5-31,,1302,460,845,
6-1,,1362,474,749,
6-2,,1490,431,729,
6-3,,1536,442,606,
6-4,,1198,415,687,
6-5,,1466,394,527,
6-6,,1348,394,607,
6-7,,1399,412,702,
6-8,,1292,417,646,
6-9,,1360,420,758,
6-10,,1608,454,881,
6-11,,1345,416,690,
6-12,,1287,623,632,
6-13,,1495,496,603,
6-14,,1506,471,612,
6-15,,1544,431,590,
6-16,,1505,453,853,
6-17,,1577,440,883,
6-18,,1459,412,891,
6-19,,1416,467,883,
6-20,,1322,567,864,
6-21,,1208,436,815,
6-22,,1268,392,691,
6-23,,1232,528,804,
6-24,,1320,553,953,
6-25,,1236,414,846,
6-26,,1336,406,812,
6-27,,1498,367,904,
6-28,,1279,497,903,
6-29,,1213,393,924,
6-30,,1360,343,989,
7-1,,1333,322,1113,
7-2,,1185,324,961,
7-3,,1379,352,964,
7-4,,1382,366,944,
7-5,,1539,409,1155,
7-6,,1505,380,1203,
7-7,,1415,379,997,
7-8,,1652,311,1010,
7-9,,1559,281,967,
7-10,,1598,310,1135,
7-11,,1512,354,1164,
7-12,,1544,232,1010,
7-13,,1359,277,1168,
7-14,,1322,292,1205,
7-15,,1284,259,1141,
7-16,,1297,206,1140,
7-17,,1201,13,945,
7-18,,1170,958,1026,
7-19,,1165,1791,1086,
7-20,,1041,1884,988,
7-21,,1149,1672,1039,
7-22,,1186,1637,1311,
7-23,,1278,1595,1277,
7-24,,1211,1593,1143,
7-25,,1385,1496,1270,
7-26,,1127,1457,1229,
7-27,,1251,1409,1190,
7-28,,1299,1411,1255,
7-29,,1419,1380,1313,
7-30,,1519,1339,1521,
7-31,,1292,1220,1530,
8-1,,1263,1186,1609,
8-2,,933,1109,1332,
8-3,,958,1114,1530,
8-4,,925,1065,1288,
8-5,,1190,1198,1469,
8-6,,981,1232,1212,
8-7,,1254,1154,1358,
8-8,,1119,1153,1345,
8-9,,1119,1114,1264,
8-10,,1149,1112,1301,
8-11,,1180,1021,1270,
8-12,,1119,937,1150,
8-13,,1027,891,1212,
8-14,,1003,1002,1168,
8-15,,1029,1087,1200,
8-16,,1013,893,1062,
8-17,,917,795,1208,
8-18,,1008,944,1253,
8-19,,1087,974,1359,
8-20,,958,914,1349,
8-21,,1029,999,1167,
8-22,,948,801,1185,
8-23,,933,922,1145,
8-24,,891,980,927,
8-25,,1077,1048,1164,
8-26,,1110,1041,1131,
8-27,,1057,866,1199,
8-28,,956,835,1200,
8-29,,813,823,1018,
8-30,,892,793,1099,
8-31,,907,844,1059,
9-1,,1026,791,1312,
9-2,,1007,967,1245,
9-3,,1047,964,1235,
9-4,,799,792,978,
9-5,,732,837,979,
9-6,,765,568,987,
9-7,,799,616,2030,
9-8,,1110,877,1043,
9-9,,1028,893,1499,
9-10,,739,665,962,
9-11,,645,737,954,
9-12,,723,590,956,
9-13,,681,704,894,
9-14,,684,638,1208,
9-15,,955,896,1311,
9-16,,1185,981,1391,
9-17,,620,726,1034,
9-18,,467,729,1006,
9-19,,524,630,965,
9-20,,587,593,919,
9-21,,664,691,1025,
9-22,,981,651,1237,
9-23,,1154,661,1243,
9-24,,759,649,880,
9-25,,734,614,933,
9-26,,925,550,1248,
9-27,,871,562,830,
9-28,,1013,600,1068,
9-29,,1146,781,1087,
9-30,,1325,802,1434,
10-1,,922,526,943,
10-2,,790,527,1002,
10-3,,797,548,923,
10-4,,855,591,987,
10-5,,927,700,1258,
10-6,,1070,833,1004,
10-7,,1016,905,1096,
10-8,,974,710,920,
10-9,,912,603,829,
10-10,,747,558,1013,
10-11,,669,487,880,
10-12,,756,473,989,
10-13,,1093,654,1108,
10-14,,1161,794,1132,
10-15,,768,534,974,
10-16,,865,646,752,
10-17,,875,523,657,
10-18,,866,433,706,
10-19,,894,534,620,
10-20,,1223,634,806,
10-21,,1187,720,870,
10-22,,874,521,635,
10-23,,863,484,735,
10-24,,809,529,626,
10-25,,767,599,554,
10-26,,878,587,726,
10-27,,1047,704,808,
10-28,,1256,686,1031,
10-29,,955,501,851,
10-30,,783,459,766,
10-31,,805,547,776,
11-1,,863,504,767,
11-2,,933,466,833,
11-3,,1069,724,832,
11-4,,1092,795,947,
11-5,,848,481,821,
11-6,,891,521,709,
11-7,,757,436,781,
11-8,,792,511,717,
11-9,,1044,491,876,
11-10,,1264,568,979,
11-11,,1382,599,1027,
11-12,,954,522,971,
11-13,,818,512,961,
11-14,,760,445,765,
11-15,,740,448,714,
11-16,,829,394,805,
11-17,,1338,726,793,
11-18,,1448,784,986,
11-19,,982,580,653,
11-20,,1063,599,689,
11-21,,1059,583,542,
11-22,,1171,649,658,
11-23,,1311,651,658,
11-24,22,1358,693,753,
11-25,43,1219,745,730,
11-26,46,892,665,692,
11-27,73,931,684,678,
11-28,66,693,561,686,
11-29,1075,770,756,638,
11-30,1553,752,590,743,
12-1,1600,1139,805,758,
12-2,1519,1161,758,711,
12-3,1823,833,573,618,
12-4,2528,909,555,543,
12-5,2545,890,512,626,
12-6,1864,861,463,674,
12-7,1794,938,484,673,
12-8,1763,1279,630,846,
12-9,1705,1108,927,772,
12-10,1738,764,575,639,
12-11,2108,709,532,624,
12-12,2207,813,529,771,
12-13,1773,761,455,678,
12-14,1537,938,402,690,
12-15,1663,1019,724,801,
12-16,1813,1143,760,719,
12-17,1767,908,529,763,
12-18,2335,1045,520,578,
12-19,2153,1000,514,627,
12-20,2059,1270,564,654,
12-21,993,1065,558,631,
12-22,2146,626,553,653,
12-23,2586,1069,616,799,
12-24,1327,980,550,812,
12-25,2407,1040,444,755,
12-26,2410,1015,480,777,
12-27,2708,1159,593,678,
12-28,2475,1201,572,685,
12-29,2365,1123,603,792,
12-30,2343,1244,572,793,
12-31,2163,1244,569,641,